component,bus,carrier,2025,2035,2045
Generator,DE0 2 solid biomass,unsustainable solid biomass,5071097.61012,1765495.15175,
Generator,DE0 2 unsustainable bioliquids,unsustainable bioliquids,1419277.46167,492291.37529,
Generator,DE0 2 urban central heat,urban central heat vent,0.08755,7.06745,0.25585
Generator,DE0 2 urban decentral heat,urban decentral heat vent,34.55484,12.20155,0.85798
Generator,DE0 20,offwind-ac,5020.83798,6467.19435,6467.21134
Generator,DE0 20,offwind-dc,0.1759,765.88118,765.88912
Generator,DE0 20,onwind,4081.43245,15241.59958,15241.59936
Generator,DE0 20,ror,0.475,0.475,0.475
Generator,DE0 20,solar,5301.7074,5301.95133,5175.60079
Generator,DE0 20,solar-hsat,0.43912,0.70628,0.04505
Generator,DE0 20 biogas,unsustainable biogas,5639530.07078,1911550.61627,
Generator,DE0 20 low voltage,solar rooftop,0.18953,2900.43627,2900.43662
Generator,DE0 20 rural heat,rural heat vent,3.04666,14.00777,0.72683
Generator,DE0 20 solid biomass,solid biomass,10000.0,6859955.23396,10002098.90908
Generator,DE0 20 solid biomass,unsustainable solid biomass,9489185.81679,3223023.64957,
Generator,DE0 20 unsustainable bioliquids,unsustainable bioliquids,2658236.57655,901024.32336,
Generator,DE0 20 urban central heat,urban central heat vent,430.94939,7.09995,0.27928
Generator,DE0 20 urban decentral heat,urban decentral heat vent,0.79733,0.27914,0.0105
Generator,DE0 21,onwind,2674.55147,9987.77131,9987.78248
Generator,DE0 21,ror,11.274,11.274,11.274
Generator,DE0 21,solar,3707.86487,3708.09843,3619.70658
Generator,DE0 21,solar-hsat,0.44432,0.75383,0.12567
Generator,DE0 21 biogas,unsustainable biogas,3461645.50671,1178542.24027,
Generator,DE0 21 low voltage,solar rooftop,0.27523,10103.06254,10103.0717
Generator,DE0 21 rural heat,rural heat vent,4.72829,16.89221,1.05125
Generator,DE0 21 solid biomass,solid biomass,10000.0,3632402.62327,5513410.23874
Generator,DE0 21 solid biomass,unsustainable solid biomass,5828495.61544,1990948.89968,
Generator,DE0 21 unsustainable bioliquids,unsustainable bioliquids,1631673.66527,555515.09625,
Generator,DE0 21 urban central heat,urban central heat vent,927.97004,7.01429,0.24274
Generator,DE0 21 urban decentral heat,urban decentral heat vent,25.22021,20.68101,1.46433
Generator,DE0 22,onwind,1910.88573,1340.59093,5208.6293
Generator,DE0 22,ror,8.37022,8.37022,8.37022
Generator,DE0 22,solar,2013.59609,2013.84959,1965.73318
Generator,DE0 22,solar-hsat,0.63703,0.70768,0.05107
Generator,DE0 22 biogas,unsustainable biogas,2223351.02827,729446.71584,
Generator,DE0 22 low voltage,solar rooftop,0.27276,2450.40937,2450.40958
Generator,DE0 22 rural heat,rural heat vent,6.885,13.74239,0.92606
Generator,DE0 22 solid biomass,solid biomass,10000.0,2826816.51584,4116010.06734
Generator,DE0 22 solid biomass,unsustainable solid biomass,3747112.36014,1236088.14495,
Generator,DE0 22 unsustainable bioliquids,unsustainable bioliquids,1047993.88454,343830.41075,
Generator,DE0 22 urban central heat,urban central heat vent,110.52535,6.73544,0.22335
Generator,DE0 22 urban decentral heat,urban decentral heat vent,0.48072,0.27056,0.01061
Generator,DE0 23,onwind,2509.08878,1759.27307,811.8879
Generator,DE0 23,ror,701.352,701.352,701.352
Generator,DE0 23,solar,2336.6467,2336.9555,2281.1554
Generator,DE0 23,solar-hsat,1.6211,4359.30246,4360.056
Generator,DE0 23 biogas,unsustainable biogas,2818302.49714,911546.00077,
Generator,DE0 23 low voltage,solar rooftop,0.27129,2418.46048,2418.46069
Generator,DE0 23 rural heat,rural heat vent,2.0939,243.614,1.28892
