component,name,bus,carrier,2025,2035,2045
Generator,DE0 5 0 solar-2025,DE0 5,solar,3429.86279,3429.86279,3429.86279
Generator,DE0 5 0 solar-hsat-2025,DE0 5,solar-hsat,0.12348,,
Generator,DE0 5 biogas unsustainable,DE0 5 biogas,unsustainable biogas,10771523.78276,3501018.7056,
Generator,DE0 5 ror,DE0 5,ror,158.00312,158.00312,158.00312
Generator,DE0 5 rural heat vent,DE0 5 rural heat,rural heat vent,0.00538,0.0703,0.73782
Generator,DE0 5 solid biomass transported,DE0 5 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 5 unsustainable bioliquids,DE0 5 unsustainable bioliquids,unsustainable bioliquids,5077241.92356,1650232.5303,
Generator,DE0 5 unsustainable solid biomass,DE0 5 solid biomass,unsustainable solid biomass,18105280.79206,5884675.92901,
Generator,DE0 5 unsustainable solid biomass transported,DE0 5 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 5 urban central heat vent,DE0 5 urban central heat,urban central heat vent,0.02436,0.10242,1317.31221
Generator,DE0 5 urban decentral heat vent,DE0 5 urban decentral heat,urban decentral heat vent,0.00363,0.06583,0.56862
Generator,DE0 6 0 onwind-2000,DE0 6,onwind,468.17442,,
Generator,DE0 6 0 onwind-2005,DE0 6,onwind,933.50676,,
Generator,DE0 6 0 onwind-2010,DE0 6,onwind,658.67032,658.67032,
Generator,DE0 6 0 onwind-2015,DE0 6,onwind,1111.78942,1111.78942,
Generator,DE0 6 0 onwind-2020,DE0 6,onwind,1007.55436,1007.55436,1007.55436
Generator,DE0 6 0 onwind-2025,DE0 6,onwind,509.88482,509.88482,509.88482
Generator,DE0 6 0 solar rooftop-2025,DE0 6 low voltage,solar rooftop,0.05673,,
Generator,DE0 6 0 solar-2005,DE0 6,solar,165.24433,165.24433,
Generator,DE0 6 0 solar-2010,DE0 6,solar,1357.01159,1357.01159,1357.01159
Generator,DE0 6 0 solar-2015,DE0 6,solar,1805.43466,1805.43466,1805.43466
Generator,DE0 6 0 solar-2020,DE0 6,solar,1229.29185,1229.29185,1229.29185
Generator,DE0 6 0 solar-2025,DE0 6,solar,2388.30091,2388.30091,2388.30091
Generator,DE0 6 0 solar-hsat-2025,DE0 6,solar-hsat,0.23942,,
Generator,DE0 6 biogas unsustainable,DE0 6 biogas,unsustainable biogas,9346726.68017,3040859.75643,
Generator,DE0 6 ror,DE0 6,ror,250.4458,250.4458,250.4458
Generator,DE0 6 rural heat vent,DE0 6 rural heat,rural heat vent,0.00508,0.06885,0.79727
Generator,DE0 6 solid biomass transported,DE0 6 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 6 unsustainable bioliquids,DE0 6 unsustainable bioliquids,unsustainable bioliquids,4405652.67327,1433333.01308,
Generator,DE0 6 unsustainable solid biomass,DE0 6 solid biomass,unsustainable solid biomass,15710415.20625,5111219.25271,
Generator,DE0 6 unsustainable solid biomass transported,DE0 6 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 6 urban central heat vent,DE0 6 urban central heat,urban central heat vent,241.85756,0.08553,1.09112
Generator,DE0 6 urban decentral heat vent,DE0 6 urban decentral heat,urban decentral heat vent,0.00459,0.06687,1.03616
Generator,DE0 7 0 onwind-2000,DE0 7,onwind,910.3701,,
Generator,DE0 7 0 onwind-2005,DE0 7,onwind,1815.21376,,
Generator,DE0 7 0 onwind-2010,DE0 7,onwind,1280.79141,1280.79141,
Generator,DE0 7 0 onwind-2015,DE0 7,onwind,2161.88628,2161.88628,
Generator,DE0 7 0 onwind-2020,DE0 7,onwind,1959.20011,1959.20011,1959.20011
Generator,DE0 7 0 onwind-2025,DE0 7,onwind,991.47489,991.47489,991.47489
Generator,DE0 7 0 solar rooftop-2025,DE0 7 low voltage,solar rooftop,0.06718,,
Generator,DE0 7 0 solar-2000,DE0 7,solar,12.83758,12.83758,
Generator,DE0 7 0 solar-2005,DE0 7,solar,218.68927,218.68927,
Generator,DE0 7 0 solar-2010,DE0 7,solar,1795.9096,1795.9096,1795.9096
Generator,DE0 7 0 solar-2015,DE0 7,solar,2389.36605,2389.36605,2389.36605
Generator,DE0 7 0 solar-2020,DE0 7,solar,1626.88149,1626.88149,1626.88149
Generator,DE0 7 0 solar-2025,DE0 7,solar,3160.74817,3160.74817,3160.74817
Generator,DE0 7 0 solar-hsat-2025,DE0 7,solar-hsat,0.37803,,
Generator,DE0 7 biogas unsustainable,DE0 7 biogas,unsustainable biogas,12606447.12343,4024048.29668,
Generator,DE0 7 ror,DE0 7,ror,1482.1745,1482.1745,1482.1745
Generator,DE0 7 rural heat vent,DE0 7 rural heat,rural heat vent,0.00527,0.38482,0.68526
Generator,DE0 7 solid biomass transported,DE0 7 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 7 unsustainable bioliquids,DE0 7 unsustainable bioliquids,unsustainable bioliquids,5942147.38167,1896766.61598,
Generator,DE0 7 unsustainable solid biomass,DE0 7 solid biomass,unsustainable solid biomass,21189505.73412,6763808.51972,
Generator,DE0 7 unsustainable solid biomass transported,DE0 7 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 7 urban central heat vent,DE0 7 urban central heat,urban central heat vent,53.95637,0.10339,1.25699
Generator,DE0 7 urban decentral heat vent,DE0 7 urban decentral heat,urban decentral heat vent,0.00392,0.29131,0.90729
Line,16,DE0 0,AC,1698.10686,1698.10882,1698.11148
Line,17,DE0 0,AC,5265.43599,5265.43709,5265.44788
Line,18,DE0 0,AC,15551.05147,15551.05341,15551.05662
Line,19,DE0 0,AC,5265.44117,5265.44365,5265.44672
Line,20,DE0 0,AC,5094.31643,5094.31834,5094.3203
Line,21,DE0 1,AC,17472.58645,17472.58826,17472.59159
Line,22,DE0 1,AC,5265.4415,5265.44396,5265.44644
Line,23,DE0 1,AC,7552.09157,7552.09293,7552.09423
Line,24,DE0 1,AC,6792.41321,6792.4142,6792.41507
Line,25,DE0 1,AC,7149.90859,12945.80223,12945.80446
Line,28,DE0 2,AC,25248.10895,35269.38898,41722.14759
Line,30,DE0 2,AC,5265.44189,7146.73173,8556.98028
Line,31,DE0 2,AC,6792.41391,6792.41493,6792.41612
Line,33,DE0 2,AC,3396.21035,4147.12409,4676.42848
Line,34,DE0 2,AC,3396.20981,5556.09538,5556.0969
Line,35,DE0 3,AC,15551.04575,15551.07642,15551.07779
Line,36,DE0 3,AC,6971.16061,6971.16255,6971.16533
Line,37,DE0 4,AC,15774.48386,15774.4853,15774.48674
Line,38,DE0 4,AC,3932.45672,3932.45923,3932.46241
Line,39,DE0 4,AC,10188.61971,10188.62219,10188.62358
Line,40,DE0 5,AC,8982.07321,8982.07447,8982.07613
Line,41,DE0 5,AC,7060.53714,7060.53856,7060.53991
Line,42,DE0 5,AC,5265.43673,5265.43826,5265.4397
Line,43,DE0 6,AC,7954.27233,7954.27303,7975.42634
Link,CO2 pipeline AT0 0 -> DE0 0-2025,AT0 0 co2 stored,CO2 pipeline,0.02594,,
Link,CO2 pipeline AT0 0 -> DE0 7-2025,AT0 0 co2 stored,CO2 pipeline,0.32856,,
Link,CO2 pipeline BE0 0 -> DE0 4-2025,BE0 0 co2 stored,CO2 pipeline,0.14065,,
Link,CO2 pipeline CH0 0 -> DE0 0-2025,CH0 0 co2 stored,CO2 pipeline,161.57191,161.57191,161.57191
Link,CO2 pipeline CZ0 0 -> DE0 3-2025,CZ0 0 co2 stored,CO2 pipeline,0.05012,,
Link,CO2 pipeline CZ0 0 -> DE0 7-2025,CZ0 0 co2 stored,CO2 pipeline,0.05399,,
Link,CO2 pipeline DE0 0 -> DE0 1-2025,DE0 0 co2 stored,CO2 pipeline,0.01595,,
Link,CO2 pipeline DE0 0 -> DE0 5-2025,DE0 0 co2 stored,CO2 pipeline,0.03233,,
Link,CO2 pipeline DE0 0 -> DE0 6-2025,DE0 0 co2 stored,CO2 pipeline,0.06869,,
Link,CO2 pipeline DE0 0 -> DE0 7-2025,DE0 0 co2 stored,CO2 pipeline,0.04671,,
Link,CO2 pipeline DE0 1 -> DE0 2-2025,DE0 1 co2 stored,CO2 pipeline,0.05289,,
Link,CO2 pipeline DE0 1 -> DE0 3-2025,DE0 1 co2 stored,CO2 pipeline,0.03319,,
Link,CO2 pipeline DE0 1 -> DE0 4-2025,DE0 1 co2 stored,CO2 pipeline,0.02386,,
Link,CO2 pipeline DE0 1 -> DE0 5-2025,DE0 1 co2 stored,CO2 pipeline,0.0259,,
Link,CO2 pipeline DE0 1 -> DE0 6-2025,DE0 1 co2 stored,CO2 pipeline,0.01955,,
Link,CO2 pipeline DE0 1 -> DE0 7-2025,DE0 1 co2 stored,CO2 pipeline,0.01611,,
Link,CO2 pipeline DE0 1 -> DK0 0-2025,DE0 1 co2 stored,CO2 pipeline,0.06198,,
Link,CO2 pipeline DE0 1 -> DK1 0-2025,DE0 1 co2 stored,CO2 pipeline,0.06544,,
Link,CO2 pipeline DE0 1 -> NO1 0-2025,DE0 1 co2 stored,CO2 pipeline,0.00571,,
Link,CO2 pipeline DE0 1 -> SE1 0-2025,DE0 1 co2 stored,CO2 pipeline,0.0066,,
Link,CO2 pipeline DE0 2 -> DE0 3-2025,DE0 2 co2 stored,CO2 pipeline,0.02471,,
Link,CO2 pipeline DE0 2 -> DE0 4-2025,DE0 2 co2 stored,CO2 pipeline,0.04363,,
Link,CO2 pipeline DE0 2 -> DE0 5-2025,DE0 2 co2 stored,CO2 pipeline,0.02862,,
Link,CO2 pipeline DE0 2 -> DE0 6-2025,DE0 2 co2 stored,CO2 pipeline,0.02705,,
Link,CO2 pipeline DE0 2 -> GB2 0-2025,DE0 2 co2 stored,CO2 pipeline,0.00808,,
Link,CO2 pipeline DE0 2 -> NL0 0-2025,DE0 2 co2 stored,CO2 pipeline,0.06279,,
Link,CO2 pipeline DE0 3 -> DE0 5-2025,DE0 3 co2 stored,CO2 pipeline,0.03238,,
Link,CO2 pipeline DE0 3 -> PL0 0-2025,DE0 3 co2 stored,CO2 pipeline,0.03307,,
Link,CO2 pipeline DE0 4 -> DE0 6-2025,DE0 4 co2 stored,CO2 pipeline,0.03892,,
Link,CO2 pipeline DE0 4 -> FR0 0-2025,DE0 4 co2 stored,CO2 pipeline,0.02845,,
