component,bus,carrier,2025,2035,2045
Generator,DK1 0 rural heat,rural heat vent,8.3494,11.80117,6.96048
Generator,DK1 0 solid biomass,solid biomass,10000.0,1694937.83602,2496673.69399
Generator,DK1 0 solid biomass,unsustainable solid biomass,4524201.28735,1553412.91422,
Generator,DK1 0 unsustainable bioliquids,unsustainable bioliquids,10323.0933,3529.48274,
Generator,DK1 0 urban central heat,urban central heat vent,21.14076,19.2147,9.45771
Generator,DK1 0 urban decentral heat,urban decentral heat vent,36.65535,11.66212,6.47651
Generator,ES0 0,offwind-ac,0.09678,0.08663,0.03023
Generator,ES0 0,onwind,30790.07321,20956.80018,8014.3862
Generator,ES0 0,ror,130.0,130.0,130.0
Generator,ES0 0,solar,28388.64408,28389.29954,28348.13343
Generator,ES0 0,solar-hsat,41644.9633,230771.48865,416571.07227
Generator,ES0 0 biogas,unsustainable biogas,3358187.99008,1108596.59388,
Generator,ES0 0 low voltage,solar rooftop,5860.88483,83034.11378,83034.13227
Generator,ES0 0 rural heat,rural heat vent,17.27019,14.89625,6.43198
Generator,ES0 0 solid biomass,solid biomass,10000.0,41946689.17349,62353887.66752
Generator,ES0 0 solid biomass,unsustainable solid biomass,58089481.0531,19183052.56883,
Generator,ES0 0 unsustainable bioliquids,unsustainable bioliquids,24007034.05958,7925141.85217,
Generator,ES0 0 urban central heat,urban central heat vent,8.67038,859.7684,428.67533
Generator,ES0 0 urban decentral heat,urban decentral heat vent,29.90363,14.02743,6.61851
Generator,ES6 0,offwind-ac,0.08551,0.06825,0.03477
Generator,ES6 0,onwind,263.70237,3719.19912,3719.20302
Generator,ES6 0,ror,147.00825,147.00825,147.00825
Generator,ES6 0,solar,304.08813,304.43019,304.73343
Generator,ES6 0,solar-hsat,0.548,1.74387,615.08481
Generator,ES6 0 biogas,unsustainable biogas,26258.30992,8270.68512,
Generator,ES6 0 low voltage,solar rooftop,203.73765,1385.25366,1385.25929
Generator,ES6 0 rural heat,rural heat vent,7.39361,15.48734,8.11791
Generator,ES6 0 solid biomass,solid biomass,10000.0,357016.35471,528274.60108
Generator,ES6 0 solid biomass,unsustainable solid biomass,464134.4969,153040.56267,
Generator,ES6 0 unsustainable bioliquids,unsustainable bioliquids,187715.56042,59125.52243,
Generator,ES6 0 urban central heat,urban central heat vent,1.82247,18.66889,7.5562
Generator,ES6 0 urban decentral heat,urban decentral heat vent,14.61729,22.25177,10.96888
Generator,EU coal,coal,147114.25406,46102.54135,3425.86069
Generator,EU gas primary,gas primary,703012.51273,468492.14251,424309.30312
Generator,EU lignite,lignite,92493.16897,70408.75292,83.13944
Generator,EU oil primary,oil primary,740347.32933,421073.93722,166832.92113
Generator,EU uranium,uranium,281438.5636,90240.19808,64560.18159
Generator,FR0 0,offwind-ac,10.67073,10.83997,0.09466
Generator,FR0 0,offwind-dc,0.1135,0.30905,0.07874
Generator,FR0 0,onwind,21763.14483,198960.70161,249837.32245
Generator,FR0 0,ror,6750.98411,6750.98411,6750.98411
Generator,FR0 0,solar,20395.33552,20395.86643,20395.93247
Generator,FR0 0,solar-hsat,1.86561,11435.52291,59020.63855
Generator,FR0 0 biogas,unsustainable biogas,11279011.11188,3723142.93594,
Generator,FR0 0 low voltage,solar rooftop,1.82075,127094.84335,127094.86784
Generator,FR0 0 rural heat,rural heat vent,0.27767,20.7254,6.84928
Generator,FR0 0 solid biomass,solid biomass,10000.0,81418091.65831,121049358.53798
Generator,FR0 0 solid biomass,unsustainable solid biomass,120163227.08671,39671955.66444,
Generator,FR0 0 unsustainable bioliquids,unsustainable bioliquids,28952498.20467,9557069.15254,
Generator,FR0 0 urban central heat,urban central heat vent,0.1099,11.53089,6.21554
Generator,FR0 0 urban decentral heat,urban decentral heat vent,0.3891,26.08901,6.15797
Generator,FR4 0,offwind-ac,0.08673,0.05428,0.03094
Generator,FR4 0,onwind,429.73324,417.28268,231.02598
Generator,FR4 0,ror,119.66504,119.66504,119.66504
Generator,FR4 0,solar,127.2346,127.50334,127.79893
Generator,FR4 0,solar-hsat,605.32116,606.4771,607.46317
Generator,FR4 0 biogas,unsustainable biogas,31140.62812,9207.13826,
Generator,FR4 0 low voltage,solar rooftop,1.01872,528.51877,528.52105
Generator,FR4 0 rural heat,rural heat vent,23.3117,29.76725,13.08334
Generator,FR4 0 solid biomass,solid biomass,10000.0,314897.77575,509384.72327
Generator,FR4 0 solid biomass,unsustainable solid biomass,341735.37329,108081.94736,
Generator,FR4 0 unsustainable bioliquids,unsustainable bioliquids,79935.99533,23634.13346,
Generator,FR4 0 urban decentral heat,urban decentral heat vent,0.49036,0.66348,0.26175
Generator,GB2 0,offwind-ac,14102.20905,13901.54048,9234.00297
Generator,GB2 0,offwind-dc,0.1789,0.18038,0.06663
Generator,GB2 0,onwind,14382.22672,190315.69674,190315.7723
Generator,GB2 0,ror,2203.275,2203.275,2203.275
Generator,GB2 0,solar,14604.1161,14604.48753,14604.32494
Generator,GB2 0,solar-hsat,9731.70933,9732.96844,9732.02776
Generator,GB2 0 biogas,unsustainable biogas,30332727.13261,10058371.58814,
Generator,GB2 0 low voltage,solar rooftop,0.79076,120837.84199,120837.86027
Generator,GB2 0 rural heat,rural heat vent,3.10981,17.68761,6.32051
Generator,GB2 0 solid biomass,solid biomass,10000.0,23832316.48415,35585621.37563
Generator,GB2 0 solid biomass,unsustainable solid biomass,52054459.35276,17268010.10194,
Generator,GB2 0 unsustainable bioliquids,unsustainable bioliquids,6478539.15025,2148291.96981,
Generator,GB2 0 urban central heat,urban central heat vent,0.647,7.85738,2.94312
Generator,GB2 0 urban decentral heat,urban decentral heat vent,8.17737,19.78214,6.66212
Generator,GB5 0,offwind-ac,630.1894,630.33822,418.6607
Generator,GB5 0,offwind-dc,0.11903,0.12614,0.04143
Generator,GB5 0,onwind,1087.48562,2771.29888,4103.01825
Generator,GB5 0,ror,1432.9,1432.9,1432.9
Generator,GB5 0,solar,1035.80309,1036.0727,1035.91768
Generator,GB5 0,solar-hsat,1.07269,0.45274,0.12897
Generator,GB5 0 biogas,unsustainable biogas,1592553.26739,476970.94386,
Generator,GB5 0 low voltage,solar rooftop,0.39258,3177.0372,3177.05093
Generator,GB5 0 rural heat,rural heat vent,24.80289,18.12758,8.08338
Generator,GB5 0 solid biomass,solid biomass,10000.0,430609.89496,653410.9172
Generator,GB5 0 solid biomass,unsustainable solid biomass,2742480.11724,828379.92316,
Generator,GB5 0 unsustainable bioliquids,unsustainable bioliquids,340141.47975,101872.63809,
Generator,GB5 0 urban central heat,urban central heat vent,2.77216,429.6241,1194.32943
Generator,GB5 0 urban decentral heat,urban decentral heat vent,22.82827,17.92261,8.71755
Generator,IT0 0,offwind-ac,0.11683,0.12196,0.06548
Generator,IT0 0,offwind-dc,0.09472,0.18528,0.07903
Generator,IT0 0,onwind,11147.01205,9666.62427,2871.94347
